make,model,transmission,engine_size,fuel_type,city_mpg,highway_mpg,combined_mpg,year
FORD,Fiesta,M5,1242,Petrol,32.5,48.7,40.9,2000
FORD,Fiesta,M5,1242,Petrol,32.1,49.6,40.9,2000
FORD,Fiesta,M5,1596,Petrol,29.7,47.1,38.7,2000
FORD,New Galaxy,M6,2792,Petrol,19.1,33.2,26.2,2000
SEAT,Alhambra,M6,1984,Petrol,21.7,36.7,29.1,2000
SEAT,Alhambra,M6,1781,Petrol,21.1,38.2,29.4,2000
SKODA,Fabia Hatch,M5,1390,Petrol,29.4,49.6,39.8,2000
SKODA,Fabia Hatch,M5,1390,Petrol,29.4,49.6,39.8,2000
SKODA,Octavia Hatch,M5,1984,Petrol,25.4,44.8,34.9,2000
SKODA,Octavia Hatch,M5,1984,Petrol,25.4,44.8,34.9,2000
SKODA,Octavia Estate,M5,1984,Petrol,25.4,44.8,34.9,2000
SKODA,Octavia Estate,M5,1984,Petrol,25.4,44.8,34.9,2000
VAUXHALL,Agila Model Year 2000,M,973,Petrol,37.7,50.4,44.8,2000
VAUXHALL,Agila Model Year 2000,M,1199,Petrol,35.3,49.6,43.5,2000
VOLKSWAGEN,Lupo 3 Door Hatchback,M5,999,Petrol,36.2,60.1,48.7,2000
VOLKSWAGEN,Lupo 3 Door Hatchback,M5,1390,Petrol,32.5,57.6,44.8,2000
VOLKSWAGEN,Lupo 3 Door Hatchback,M5,1390,Petrol,32.5,57.6,44.8,2000
VOLKSWAGEN,Lupo 3 Door Hatchback,M5,1390,Petrol,29.4,54.3,41.5,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,999,Petrol,37.2,58.9,48.7,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1390,Petrol,33.2,56.5,44.8,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,A4,1390,Petrol,27.7,44.8,36.7,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1390,Petrol,33.2,56.5,44.8,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,A4,1390,Petrol,27.7,44.8,36.7,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1390,Petrol,32.1,56.5,44.1,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1390,Petrol,33.2,56.5,44.8,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,A4,1390,Petrol,27.7,44.8,36.7,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M,1390,Petrol,32.1,56.5,44.1,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1390,Petrol,29.1,51.4,40.4,2000
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,M5,1598,Petrol,27.7,51.4,39.2,2000
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,M5,1984,Petrol,25.0,44.8,34.9,2000
VOLKSWAGEN,Golf Cabriolet 2 Door Convertible,M5,1984,Petrol,25.0,44.8,34.9,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,1390,Petrol,31.0,51.4,41.5,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,1390,Petrol,31.0,51.4,41.5,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,1598,Petrol,29.4,49.6,39.8,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,1598,Petrol,29.4,49.6,39.8,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,1984,Petrol,25.4,44.8,34.9,2000
VOLKSWAGEN,Golf 3/5 Door Hatchback,M5,2792,Petrol,18.1,34.0,25.7,2000
VOLKSWAGEN,Golf 5 Door Estate,M5,1390,Petrol,30.4,50.4,40.4,2000
VOLKSWAGEN,Golf 5 Door Estate,M5,1598,Petrol,29.1,48.7,39.2,2000
VOLKSWAGEN,Golf 5 Door Estate,M5,1984,Petrol,25.4,44.8,34.9,2000
VOLKSWAGEN,Golf 5 Door Estate,M5,1984,Petrol,25.4,44.8,34.9,2000
VOLKSWAGEN,Bora 4 Door Saloon,M5,2792,Petrol,18.1,34.0,25.7,2000
VOLKSWAGEN,Bora 4 Door Saloon,M5,1598,Petrol,29.1,47.9,39.2,2000
VOLKSWAGEN,Bora 4 Door Saloon,M5,1598,Petrol,29.1,47.9,39.2,2000
VOLKSWAGEN,New Beetle,M5,1984,Petrol,23.9,40.9,32.5,2000
VOLKSWAGEN,New Sharan 5 Door,M6,1984,Petrol,21.7,36.7,29.1,2000
VOLKSWAGEN,New Sharan 5 Door,M6,1984,Petrol,21.7,36.7,29.1,2000
VOLKSWAGEN,New Sharan 5 Door,M6,1781,Petrol,20.9,37.7,29.1,2000
VOLKSWAGEN,New Sharan 5 Door,M6,1781,Petrol,20.9,37.7,29.1,2000
VOLKSWAGEN,New Sharan 5 Door,M6,1781,Petrol,20.9,37.7,29.1,2000
AUDI,"Audi A4 (Saloon, Avant & SE)",M5,1896,Diesel,40.9,62.8,52.3,2000
AUDI,"Audi A4 (Saloon, Avant & SE)",A5,1896,Diesel,29.1,52.3,40.9,2000
AUDI,"Audi A6 (Saloon, Avant & Quattro)",QM6,2496,Diesel,25.0,44.1,34.9,2000
AUDI,"Audi A6 (Saloon, Avant & Quattro)",QA5,2496,Diesel,21.7,42.2,31.4,2000
BMW,3 Series E36,M5,1895,Petrol,25.9,47.1,36.2,2000
BMW,3 Series E36,M5,2793,Petrol,21.9,38.2,30.1,2000
BMW,3 Series E36,A4,2793,Petrol,19.6,34.9,27.2,2000
BMW,3 Series E36,M5,2979,Petrol,21.2,38.7,29.7,2000
BMW,3 Series E36,A5,2979,Petrol,19.8,37.2,28.0,2000
BMW,3 Series E36,M5,1895,Petrol,26.2,48.7,37.2,2000
BMW,3 Series E36,A4,1895,Petrol,23.5,39.8,31.7,2000
BMW,3 Series E46,M5,1895,Petrol,25.7,46.3,35.8,2000
BMW,3 Series E46,A4,1895,Petrol,22.2,40.9,31.0,2000
BMW,3 Series E46,M5,2494,Petrol,22.2,40.9,31.4,2000
BMW,3 Series E46,A5,2494,Petrol,19.0,39.2,28.2,2000
BMW,3 Series E46,M5,2793,Petrol,22.6,40.4,31.0,2000
BMW,3 Series E46,A5,2793,Petrol,18.5,39.8,28.0,2000
BMW,3 Series E46,M5,2979,Petrol,22.1,40.9,31.0,2000
BMW,3 Series E46,A5,2979,Petrol,19.5,38.7,28.5,2000
BMW,3 Series E46,M5,2494,Petrol,21.1,37.7,29.1,2000
BMW,3 Series E46,A5,2494,Petrol,18.6,35.8,26.6,2000
BMW,3 Series E46,M5,2979,Petrol,20.3,37.2,28.5,2000
BMW,3 Series E46,A5,2979,Petrol,18.2,36.2,26.6,2000
BMW,3 Series E46,M5,1895,Petrol,25.0,49.6,36.2,2000
BMW,3 Series E46,A4,1895,Petrol,23.0,40.9,31.7,2000
BMW,3 Series E46,M5,1895,Petrol,25.7,46.3,35.8,2000
BMW,3 Series E46,A4,1895,Petrol,22.2,40.9,31.0,2000
BMW,3 Series E46,M5,1951,Diesel,38.2,60.1,49.6,2000
BMW,3 Series E46,M5,2494,Petrol,22.2,40.9,31.4,2000
BMW,3 Series E46,A5,2494,Petrol,19.0,39.2,28.2,2000
BMW,3 Series E46,M5,2793,Petrol,22.6,40.4,31.0,2000
BMW,3 Series E46,A5,2793,Petrol,18.5,39.8,28.0,2000
BMW,3 Series E46,M5,2979,Petrol,22.1,40.9,31.0,2000
BMW,3 Series E46,A5,2979,Petrol,19.5,38.7,28.5,2000
BMW,3 Series E46,M5,2926,Diesel,30.4,52.3,41.5,2000
BMW,3 Series E46,A5,2926,Diesel,25.2,45.6,35.3,2000
BMW,3 Series E46,M5,1895,Petrol,24.8,45.6,34.9,2000
BMW,3 Series E46,A4,1895,Petrol,21.2,40.4,30.4,2000
BMW,3 Series E46,M5,1951,Diesel,36.7,58.9,47.9,2000
BMW,3 Series E46,M5,2793,Petrol,21.6,39.8,30.4,2000
BMW,3 Series E46,A5,2793,Petrol,18.5,38.2,27.4,2000
BMW,3 Series E46,M5,2979,Petrol,21.6,39.2,30.1,2000
BMW,3 Series E46,A5,2979,Petrol,19.1,37.7,27.7,2000
BMW,3 Series E46,M5,2926,Diesel,29.7,50.4,40.4,2000
BMW,3 Series E46,A5,2926,Diesel,25.0,44.8,34.9,2000
BMW,5 Series E39,M5,2494,Petrol,21.6,39.2,30.1,2000
BMW,5 Series E39,A5,2494,Petrol,18.8,37.7,27.4,2000
BMW,5 Series E39,M5,2793,Petrol,20.8,39.2,29.7,2000
BMW,5 Series E39,A5,2793,Petrol,18.1,37.2,26.9,2000
BMW,5 Series E39,M5,2926,Diesel,29.1,50.4,39.8,2000
BMW,5 Series E39,A5,2926,Diesel,24.1,44.1,34.0,2000
BMW,5 Series E39,M5,3498,Petrol,16.7,33.2,24.4,2000
BMW,5 Series E39,A5,3498,Petrol,16.9,32.1,24.1,2000
BMW,5 Series E39,M6,4398,Petrol,16.0,31.7,23.3,2000
BMW,5 Series E39,A5,4398,Petrol,16.4,30.7,23.3,2000
BMW,5 Series E39,M6,4941,Petrol,13.4,28.8,20.3,2000
BMW,5 Series E39,M5,2494,Petrol,21.1,36.7,28.8,2000
BMW,5 Series E39,A5,2494,Petrol,18.1,35.8,26.4,2000
BMW,5 Series E39,M5,2793,Petrol,20.5,37.7,28.8,2000
BMW,5 Series E39,A5,2793,Petrol,18.2,35.3,26.4,2000
BMW,5 Series E39,M5,2926,Diesel,28.8,48.7,38.7,2000
BMW,5 Series E39,A5,2926,Diesel,23.7,42.8,33.2,2000
BMW,5 Series E39,M6,4398,Petrol,15.7,31.0,22.8,2000
BMW,5 Series E39,A5,4398,Petrol,16.1,29.1,22.4,2000
BMW,X5 Series E53,A5,4398,Petrol,15.0,25.4,20.3,2000
BMW,7 Series E38,A5,2793,Petrol,17.1,35.3,25.4,2000
BMW,7 Series E38,A5,3498,Petrol,16.4,31.0,23.3,2000
BMW,7 Series E38,A5,4398,Petrol,15.6,30.7,22.6,2000
BMW,7 Series E38,A5,4398,Petrol,15.2,30.1,22.1,2000
BMW,7 Series E38,A5,5379,Petrol,14.4,28.0,20.8,2000
BMW,7 Series E38,A5,5379,Petrol,14.3,27.2,20.5,2000
BMW,Z8 Series E52,M6,4941,Petrol,13.4,26.6,19.5,2000
CHRYSLER JEEP,Jeep Wrangler (00 Model Year),M5,3960,Petrol,15.0,28.8,21.6,2000
CHRYSLER JEEP,Jeep Wrangler (00 Model Year),A3,3960,Petrol,14.9,26.6,20.6,2000
CHRYSLER JEEP,Jeep Cherokee (00 Model Year),A4,3960,Petrol,13.9,25.7,19.6,2000
CHRYSLER JEEP,Jeep Grand Cherokee (00 Model Year),A4,3956,Petrol,13.3,23.5,18.3,2000
CHRYSLER JEEP,Jeep Grand Cherokee (00 Model Year),A4,4701,Petrol,12.7,21.7,17.2,2000
CHRYSLER JEEP,Jeep Grand Cherokee (00 Model Year),A4,3124,Diesel,19.0,29.1,24.1,2000
CHRYSLER JEEP,Chrysler Neon (00 Model Year),A3,1996,Petrol,24.4,40.9,32.8,2000
CHRYSLER JEEP,Chrysler Neon (00 Model Year),M5,1996,Petrol,26.4,44.8,35.8,2000
CHRYSLER JEEP,Chrysler PT Cruiser (01 Model Year),M5,1996,Petrol,24.6,40.4,32.5,2000
CHRYSLER JEEP,Chrysler PT Cruiser (01 Model Year),A4,1996,Petrol,21.6,35.8,28.8,2000
CITROEN,Xsara Picasso,M5,1587,Petrol,28.2,46.3,37.7,2000
CITROEN,Xsara Picasso,M5,1997,Diesel,40.4,61.4,51.4,2000
CITROEN,Synergie,M5,1997,Petrol,23.0,38.2,30.7,2000
CITROEN,Synergie,A4,1997,Petrol,20.9,37.2,29.1,2000
FORD,Ka,M5,1299,Petrol,32.1,51.4,42.2,2000
FORD,Ka,M5,1299,Petrol,31.7,50.4,41.5,2000
FORD,Fiesta,M5,1299,Petrol,32.5,47.9,40.9,2000
FORD,Fiesta,M5,1299,Petrol,30.7,45.6,38.7,2000
FORD,Fiesta,A,1242,Petrol,30.4,48.7,39.8,2000
FORD,Fiesta,A,1242,Petrol,30.1,47.1,38.7,2000
FORD,Fiesta,M5,1753,Diesel,40.4,65.7,53.3,2000
FORD,Courier,M5,1299,Petrol,30.4,40.4,36.2,2000
FORD,Puma,M5,1676,Petrol,29.1,46.3,38.2,2000
FORD,Focus,M5,1388,Petrol,32.1,52.3,42.8,2000
FORD,Focus,M5,1388,Petrol,31.7,50.4,41.5,2000
FORD,Focus,M5,1596,Petrol,30.1,50.4,40.4,2000
FORD,Focus,M5,1596,Petrol,30.1,49.6,39.8,2000
FORD,Focus,A4,1596,Petrol,25.9,47.1,36.2,2000
FORD,Focus,A4,1596,Petrol,25.9,46.3,36.2,2000
FORD,Focus,A4,1596,Petrol,25.0,44.1,34.4,2000
FORD,Focus,A4,1596,Petrol,24.4,42.8,33.6,2000
FORD,Focus,A4,1596,Petrol,25.2,44.1,34.9,2000
FORD,Focus,M5,1796,Petrol,27.2,47.9,37.2,2000
FORD,Focus,M5,1796,Petrol,27.4,47.9,37.7,2000
FORD,Focus,M5,1796,Petrol,26.9,47.1,37.2,2000
FORD,Focus,M5,1796,Petrol,27.4,47.1,37.7,2000
FORD,Focus,M5,1796,Petrol,27.4,47.1,37.2,2000
FORD,Focus,M5,1796,Petrol,27.2,46.3,36.7,2000
FORD,Focus,M5,1988,Petrol,24.1,40.9,32.5,2000
FORD,Focus,M5,1988,Petrol,24.1,40.9,32.8,2000
FORD,Focus,M5,1988,Petrol,24.1,40.9,32.8,2000
FORD,Focus,M5,1988,Petrol,23.7,40.4,32.5,2000
FORD,Focus,M5,1988,Petrol,23.7,40.4,32.5,2000
FORD,Focus,M5,1753,Diesel,39.8,67.3,52.3,2000
FORD,Focus,M5,1753,Diesel,39.2,64.2,52.3,2000
FORD,Focus,M5,1753,Diesel,39.2,64.2,52.3,2000
FORD,Focus,M5,1753,Diesel,39.2,62.8,51.4,2000
FORD,Cougar,M5,1988,Petrol,23.2,43.5,32.8,2000
FORD,Cougar,M5,1988,Petrol,23.3,44.1,33.2,2000
FORD,Cougar,M5,2495,Petrol,19.3,37.2,27.7,2000
FORD,Cougar,A4,2495,Petrol,18.7,36.7,27.2,2000
FORD,Cougar,M5,2495,Petrol,19.3,37.2,27.7,2000
FORD,New Galaxy,M5,2295,Petrol,20.2,36.2,28.0,2000
FORD,New Galaxy,A4,2295,Petrol,18.7,32.8,25.7,2000
FORD,New Galaxy,M6,1896,Diesel,34.0,51.4,43.5,2000
FORD,New Galaxy,M6,1896,Diesel,32.8,51.4,42.8,2000
FORD,New Galaxy,A5,1896,Diesel,28.5,43.5,36.2,2000
FORD,New Transit RWD,M5,2295,Petrol,19.3,32.5,25.7,2000
FORD,New Transit RWD,M5,2295,Petrol,20.0,33.2,26.6,2000
FORD,New Transit RWD,M5,2402,Diesel,27.7,39.2,34.0,2000
FORD,New Transit RWD,M5,2402,Diesel,25.0,35.8,31.0,2000
FORD,New Transit RWD,M5,2402,Diesel,27.2,38.7,33.6,2000
FORD,New Transit RWD,M5,2402,Diesel,25.0,37.2,31.4,2000
FORD,New Transit RWD,M5,2402,Diesel,26.2,39.2,33.2,2000
FORD,New Transit RWD,M5,2402,Diesel,24.8,36.7,31.0,2000
FORD,New Transit RWD,M5,2402,Diesel,27.4,40.4,34.4,2000
FORD,New Transit RWD,M5,2402,Diesel,25.2,37.2,31.4,2000
FORD,New Transit FWD,M5,1998,Diesel,32.8,45.6,39.8,2000
FORD,New Transit FWD,M5,1998,Diesel,31.0,44.1,38.2,2000
FORD,New Transit FWD,M5,1998,Diesel,31.7,43.5,38.2,2000
FORD,New Transit FWD,M5,1998,Diesel,30.1,42.8,37.2,2000
HONDA,Accord 4 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 4 Door (2000 YM),4SS,1997,Petrol,22.4,40.4,31.4,2000
HONDA,Accord 4 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 4 Door (2000 YM),4SS,1997,Petrol,22.4,40.4,31.4,2000
HONDA,Accord 4 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 4 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 4 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 4 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 4 Door (2000 YM),M5,2157,Petrol,21.9,36.2,29.4,2000
HONDA,Accord 5 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 5 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 5 Door (2000 YM),M5,1997,Petrol,24.8,40.9,32.8,2000
HONDA,Accord 5 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 5 Door (2000 YM),M5,1997,Petrol,23.9,40.4,32.1,2000
HONDA,Accord 5 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 5 Door (2000 YM),M5,1997,Petrol,23.9,40.4,32.1,2000
HONDA,Accord 5 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord 5 Door (2000 YM),M5,1997,Petrol,23.9,40.4,32.1,2000
HONDA,Accord 5 Door (2000 YM),4SS,1997,Petrol,22.2,39.8,31.0,2000
HONDA,Accord CoupÚ (2000 YM),M5,1997,Petrol,23.0,39.2,31.0,2000
HONDA,Accord CoupÚ (2000 YM),A4,1997,Petrol,20.2,37.2,28.2,2000
HONDA,Civic 3 Door (2000 YM),M5,1396,Petrol,32.1,49.6,41.5,2000
HONDA,Civic 3 Door (2000 YM),M5,1396,Petrol,32.1,49.6,41.5,2000
HONDA,Civic 3 Door (2000 YM),A4,1396,Petrol,27.2,45.6,36.7,2000
HONDA,Civic 5 Door (2000 YM),M5,1396,Petrol,29.7,42.2,36.7,2000
HONDA,Civic 5 Door (2000 YM),M5,1396,Petrol,29.7,42.2,36.7,2000
HONDA,Civic 5 Door (2000 YM),A4,1396,Petrol,25.2,41.5,33.6,2000
HONDA,Civic 5 Door (2000 YM),M5,1396,Petrol,29.7,42.2,36.7,2000
HONDA,Civic 5 Door (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic 5 Door (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic 5 Door (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic 5 Door (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic 5 Door (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic 5 Door (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic 5 Door (2000 YM),M4,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic 5 Door (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic Aero Deck (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic Aero Deck (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic Aero Deck (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic Aero Deck (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic Aero Deck (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic Aero Deck (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic Aero Deck (2000 YM),M5,1590,Petrol,27.7,41.5,35.3,2000
HONDA,Civic Aero Deck (2000 YM),A4,1590,Petrol,24.1,37.2,31.0,2000
HONDA,Civic CoupÚ (2000 YM),M5,1590,Petrol,29.1,47.1,38.7,2000
HONDA,Civic CoupÚ (2000 YM),A4,1590,Petrol,25.7,43.5,34.9,2000
HONDA,CR-V (2000 YM),M5,1973,Petrol,23.7,33.6,29.1,2000
HONDA,CR-V (2000 YM),A4,1973,Petrol,22.2,33.6,28.5,2000
HONDA,CR-V (2000 YM),M5,1973,Petrol,23.7,33.6,29.1,2000
HONDA,CR-V (2000 YM),A4,1973,Petrol,22.2,33.6,28.5,2000
HONDA,HR-V (2000 YM),M5,1590,Petrol,28.5,39.2,34.4,2000
HONDA,HR-V (2000 YM),M5,1590,Petrol,27.2,37.2,32.8,2000
HONDA,HR-V (2000 YM),CVT,1590,Petrol,28.5,37.2,33.6,2000
HONDA,HR-V (2000 YM),M5,1590,Petrol,27.2,37.2,32.8,2000
HONDA,HR-V (2000 YM),CVT,1590,Petrol,28.5,37.7,33.6,2000
HONDA,HR-V (2000 YM),M5,1590,Petrol,27.2,37.2,32.8,2000
HONDA,HONDA S2000 (2000 YM),M6,1997,Petrol,21.4,35.8,28.5,2000
HONDA,Insight (2000 YM),M5,995,Petrol,68.9,94.2,83.1,2000
HONDA,Legend (2000 YM),A4,3474,Petrol,16.4,30.4,23.2,2000
HONDA,NSX (2000 YM),M6,3179,Petrol,16.8,31.4,23.7,2000
HONDA,NSX (2000 YM),M6,3179,Petrol,16.8,31.4,23.7,2000
HONDA,NSX (2000 YM),A4,2156,Petrol,16.5,32.5,23.9,2000
HONDA,NSX (2000 YM),A4,2156,Petrol,16.5,32.5,23.9,2000
HYUNDAI,Accent,M5,1341,Petrol,34.0,53.3,44.1,2000
HYUNDAI,Accent,A4,1341,Petrol,28.8,47.9,38.7,2000
HYUNDAI,Accent,M5,1495,Petrol,30.1,51.4,40.9,2000
HYUNDAI,Accent,A4,1495,Petrol,26.9,45.6,36.2,2000
HYUNDAI,Trajet,M5,1975,Petrol,21.9,39.2,30.4,2000
HYUNDAI,Trajet,A4,1975,Petrol,20.0,35.3,27.4,2000
HYUNDAI,Trajet,A4,2656,Petrol,17.9,32.5,25.0,2000
LEXUS,All Models,M6,1988,Petrol,21.9,36.2,29.4,2000
LEXUS,All Models,A4,1988,Petrol,20.9,37.2,29.1,2000
MERCEDES-BENZ,SLK-Class (R170),A5,1998,Petrol,21.2,40.9,30.7,2000
MERCEDES-BENZ,SLK-Class (R170),M6,1998,Petrol,20.5,39.2,29.4,2000
MERCEDES-BENZ,SLK-Class (R170),A5,2295,Petrol,20.9,40.3,30.1,2000
MERCEDES-BENZ,SLK-Class (R170),M6,2295,Petrol,20.0,38.7,28.8,2000
MERCEDES-BENZ,SLK-Class (R170),A5,3199,Petrol,18.7,36.7,27.2,2000
MERCEDES-BENZ,SLK-Class (R170),M6,3199,Petrol,17.2,35.3,25.4,2000
METROCAB,TAXI TTT,A4,2446,Diesel,22.6,28.9,26.2,2000
METROCAB,TAXI TTT,M5,2446,Diesel,25.3,31.9,29.0,2000
NISSAN,Almera - N16 Series,M5,1498,Petrol,32.8,51.4,42.8,2000
NISSAN,Almera - N16 Series,M5,1769,Petrol,27.7,47.9,37.7,2000
NISSAN,Almera - N16 Series,A4,1769,Petrol,26.6,45.6,36.2,2000
NISSAN,Almera - N16 Series,M5,2184,Diesel,37.7,60.1,49.6,2000
NISSAN,Primera - P11 Series,M5,1769,Petrol,28.8,48.7,38.7,2000
NISSAN,Primera - P11 Series,M5,1769,Petrol,28.5,47.1,38.2,2000
NISSAN,Primera - P11 Series,M5,1998,Petrol,24.8,45.6,34.9,2000
NISSAN,Primera - P11 Series,CVT,1998,Petrol,23.3,43.5,33.2,2000
NISSAN,Primera - P11 Series,M5,1998,Petrol,24.8,43.5,34.0,2000
NISSAN,Primera - P11 Series,CVT,1998,Petrol,23.2,42.2,32.5,2000
NISSAN,Primera - P11 Series,CVT,1998,Petrol,22.8,40.4,31.4,2000
NISSAN,Maxima QX A33 Series,MT,1995,Petrol,23.0,38.7,30.7,2000
NISSAN,Maxima QX A33 Series,AT,1995,Petrol,21.0,37.7,29.0,2000
NISSAN,Maxima QX A33 Series,AT,2988,Petrol,19.0,36.2,27.0,2000
PEUGEOT,607,M5,2230,Petrol,22.6,39.2,31.0,2000
PEUGEOT,607,A4,2230,Petrol,20.9,37.7,29.1,2000
PEUGEOT,607,M5,2946,Petrol,20.3,38.2,28.8,2000
PEUGEOT,607,A4,2946,Petrol,19.6,36.2,27.7,2000
PEUGEOT,607,M5,2179,Diesel,30.4,53.3,41.5,2000
PEUGEOT,806,M5,1997,Petrol,23.0,38.2,30.7,2000
PEUGEOT,806,A4,1997,Petrol,20.7,37.2,29.1,2000
PORSCHE,All Models,M6,3387,Petrol,16.4,33.2,23.9,2000
PORSCHE,All Models,A5,3387,Petrol,15.4,33.2,23.5,2000
PORSCHE,All Models,M6,3387,Petrol,16.2,32.1,23.5,2000
PORSCHE,All Models,A5,3387,Petrol,15.2,32.1,22.8,2000
PORSCHE,All Models,M6,3387,Petrol,16.4,33.2,23.9,2000
PORSCHE,All Models,A5,3387,Petrol,15.4,33.2,23.5,2000
PORSCHE,All Models,M6,3387,Petrol,16.2,32.1,23.5,2000
PORSCHE,All Models,A5,3387,Petrol,15.2,32.1,22.8,2000
PORSCHE,All Models,M6,3600,Petrol,14.9,30.7,21.9,2000
PORSCHE,All Models,A5,3600,Petrol,12.9,29.4,20.3,2000
PORSCHE,All Models,M5,2687,Petrol,19.8,38.2,28.5,2000
PORSCHE,All Models,A5,2687,Petrol,17.8,35.3,25.9,2000
PORSCHE,All Models,M6,3179,Petrol,18.1,36.2,26.4,2000
PORSCHE,All Models,A5,3179,Petrol,16.4,34.4,25.0,2000
RENAULT,MÚgane Hatchback,M5,1870,Diesel,33.6,58.9,46.3,2000
RENAULT,New Scenic,M5,1870,Diesel,36.7,57.6,47.9,2000
RENAULT,New Scenic RX4,M5,1998,Petrol,23.9,34.4,29.7,2000
RENAULT,Laguna,M5,1872,Diesel,38.2,61.4,50.4,2000
RENAULT,Laguna Estate,M5,1872,Diesel,37.2,58.9,48.7,2000
ROVER GROUP LIMITED,MG F,M5,1796,Petrol,26.2,49.0,37.1,2000
ROVER GROUP LIMITED,MG F,CVT,1796,Petrol,23.4,42.6,32.8,2000
ROVER GROUP LIMITED,MG F,M5,1796,Petrol,25.0,47.6,35.7,2000
ROVER GROUP LIMITED,Rover 25,M5,1396,Petrol,31.1,51.1,41.3,2000
ROVER GROUP LIMITED,Rover 25,M5,1396,Petrol,31.1,51.1,41.3,2000
ROVER GROUP LIMITED,Rover 25,M5,1588,Petrol,30.6,50.6,40.8,2000
ROVER GROUP LIMITED,Rover 25,CVT,1796,Petrol,24.7,45.0,34.6,2000
ROVER GROUP LIMITED,Rover 25,M5,1796,Petrol,27.2,48.7,37.7,2000
ROVER GROUP LIMITED,Rover 25,M5,1994,Diesel,39.2,68.3,53.8,2000
ROVER GROUP LIMITED,Rover 45,M5,1396,Petrol,30.4,49.9,40.3,2000
ROVER GROUP LIMITED,Rover 45,M5,1588,Petrol,29.4,48.7,39.3,2000
ROVER GROUP LIMITED,Rover 45,M5,1796,Petrol,29.2,48.3,38.9,2000
ROVER GROUP LIMITED,Rover 45,CVT,1796,Petrol,23.8,43.2,33.3,2000
ROVER GROUP LIMITED,Rover 45,A5,1997,Petrol,20.3,42.2,30.2,2000
ROVER GROUP LIMITED,Rover 45,M5,1994,Diesel,38.7,66.4,52.7,2000
ROVER GROUP LIMITED,Rover 75,M5,1796,Petrol,25.3,45.3,35.0,2000
ROVER GROUP LIMITED,Rover 75,A5,1796,Petrol,22.2,37.1,29.8,2000
ROVER GROUP LIMITED,Rover 75,M5,1997,Petrol,20.1,39.8,29.2,2000
ROVER GROUP LIMITED,Rover 75,A5,1997,Petrol,18.5,34.2,26.1,2000
ROVER GROUP LIMITED,Rover 75,M5,2497,Petrol,20.0,38.9,28.9,2000
